#Run;Collection date;AST phenotypes;Isolate;Location;Isolation source
SRR18209130;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289454.1;Australia: Melbourne;Blood Venou
SRR18209134;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289458.1;Australia: Melbourne;urine
SRR18209135;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289459.1;Australia: Melbourne;swab
SRR18209136;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289460.1;Australia: Melbourne;urine
SRR18209137;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289461.1;Australia: Melbourne;Urine - MSU
SRR18209141;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289465.1;Australia: Melbourne;Urine - MSU
SRR18209143;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289467.1;Australia: Melbourne;urine
SRR18209145;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001289469.1;Australia: Melbourne;sputum
SRR18209147;2020;amoxicillin-clavulanic acid=R,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001289471.1;Australia: Melbourne;urine
SRR18209148;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289472.1;Australia: Melbourne;Urine - Catheter
SRR18209151;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289475.1;Australia: Melbourne;urine
SRR18209153;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289477.1;Australia: Melbourne;Burn
SRR18209154;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001289478.1;Australia: Melbourne;Burn
SRR18209155;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R;PDT001289479.1;Australia: Melbourne;blood
SRR18209156;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289480.1;Australia: Melbourne;urine
SRR18209158;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289482.1;Australia: Melbourne;Blood Venous
SRR18209159;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289483.1;Australia: Melbourne;Urine - Bag
SRR18209160;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289484.1;Australia: Melbourne;BAL
SRR18209161;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289485.1;Australia: Melbourne;urine
SRR18209163;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289487.1;Australia: Melbourne;Hickman Catheter
SRR18209167;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289491.1;Australia: Melbourne;swab
SRR18209169;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289493.1;Australia: Melbourne;Endotrachial Tube
SRR18209170;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289494.1;Australia: Melbourne;urine
SRR18209171;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289495.1;Australia: Melbourne;urine
SRR18209172;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289496.1;Australia: Melbourne;Urine - Catheter
SRR18209173;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289497.1;Australia: Melbourne;sputum
SRR18209174;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R;PDT001289498.1;Australia: Melbourne;Blood Venous
SRR18209175;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001289499.1;Australia: Melbourne;Urine - MSU
SRR18209179;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289503.1;Australia: Melbourne;Central Line
SRR18209180;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289504.1;Australia: Melbourne;blood
SRR18209181;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=S,piperacillin-tazobactam=R;PDT001289505.1;Australia: Melbourne;sputum
SRR18209182;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289506.1;Australia: Melbourne;Burn
SRR18209183;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289507.1;Australia: Melbourne;urine
SRR18209184;2020;amoxicillin-clavulanic acid=R,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001289508.1;Australia: Melbourne;blood
SRR18209186;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289510.1;Australia: Melbourne;Burn
SRR18209188;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R;PDT001289512.1;Australia: Melbourne;Endotrachial Tube
SRR18209190;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289514.1;Australia: Melbourne;Urine - Cystoscopy
SRR18209192;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R;PDT001289516.1;Australia: Melbourne;Urine - Nephrostomy
SRR18209194;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R;PDT001289518.1;Australia: Melbourne;urine
SRR18209195;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289519.1;Australia: Melbourne;urine
SRR18209196;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289520.1;Australia: Melbourne;blood
SRR18209197;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001289521.1;Australia: Melbourne;Blood Peripheral
SRR18209198;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289522.1;Australia: Melbourne;Burn
SRR18209199;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289523.1;Australia: Melbourne;urine
SRR18209200;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289524.1;Australia: Melbourne;urine
SRR18209206;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001289529.1;Australia: Melbourne;urine
SRR18209207;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289530.1;Australia: Melbourne;urine
SRR18209209;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289532.1;Australia: Melbourne;urine
SRR18209213;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289536.1;Australia: Melbourne;urine
SRR18209214;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=R;PDT001289537.1;Australia: Melbourne;Abscess
SRR18209215;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R;PDT001289538.1;Australia: Melbourne;sputum
SRR18209216;2020;amoxicillin-clavulanic acid=S,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=S;PDT001289539.1;Australia: Melbourne;PEG Site
SRR18209217;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289540.1;Australia: Melbourne;urine
SRR18209219;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289542.1;Australia: Melbourne;urine
SRR18209222;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R;PDT001289544.1;Australia: Melbourne;Urine - Catheter
SRR18209223;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289545.1;Australia: Melbourne;blood
SRR18209226;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289548.1;Australia: Melbourne;swab
SRR18209228;2020;amoxicillin-clavulanic acid=S,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=S;PDT001289550.1;Australia: Melbourne;urine
SRR18209229;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289551.1;Australia: Melbourne;Urine - MSU
SRR18209230;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R;PDT001289552.1;Australia: Melbourne;tracheal aspirate
SRR18209231;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289553.1;Australia: Melbourne;urine
SRR18209232;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289554.1;Australia: Melbourne;urine
SRR18209233;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289555.1;Australia: Melbourne;urine
SRR18209234;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289556.1;Australia: Melbourne;urine
SRR18209235;2020;amoxicillin-clavulanic acid=R,ceftazidime=R,ceftriaxone=R,piperacillin-tazobactam=R;PDT001289557.1;Australia: Melbourne;urine
SRR18209236;2020;amoxicillin-clavulanic acid=S,ceftazidime=S,ceftriaxone=S,piperacillin-tazobactam=S;PDT001289558.1;Australia: Melbourne;urine
SRR23048568;2020;cefotaxime=S,ceftazidime=S;PDT001580398.1;Norway;Caecal
SRR23048569;2020;cefotaxime=S,ceftazidime=S;PDT001580399.1;Norway;Caecal
SRR23048571;2020;cefotaxime=S,ceftazidime=S;PDT001580401.1;Norway;Caecal
SRR23048572;2020;cefotaxime=S,ceftazidime=S;PDT001580402.1;Norway;Caecal
SRR23048574;2020;cefotaxime=S,ceftazidime=S;PDT001580404.1;Norway;Caecal
SRR23048576;2020;ceftazidime=S;PDT001580406.1;Norway;Caecal
SRR23048577;2020;cefotaxime=I,ceftazidime=S;PDT001580407.1;Norway;Caecal
SRR23048578;2020;cefotaxime=S,ceftazidime=S;PDT001580408.1;Norway;Caecal
SRR23048579;2020;cefotaxime=S,ceftazidime=S;PDT001580409.1;Norway;Caecal
SRR23048581;2020;cefotaxime=S,ceftazidime=S;PDT001580411.1;Norway;Caecal
SRR23048582;2020;cefotaxime=S,ceftazidime=S;PDT001580412.1;Norway;Caecal
SRR23048583;2020;cefotaxime=S,ceftazidime=S;PDT001580413.1;Norway;Caecal
SRR23048584;2020;cefotaxime=S,ceftazidime=S;PDT001580414.1;Norway;Caecal
SRR23048585;2020;cefotaxime=S,ceftazidime=S;PDT001580415.1;Norway;Caecal
SRR23048586;2020;cefotaxime=S,ceftazidime=S;PDT001580416.1;Norway;Caecal
SRR23048587;2020;cefotaxime=S,ceftazidime=S;PDT001580417.1;Norway;Caecal
SRR23048588;2020;cefotaxime=I,ceftazidime=S;PDT001580418.1;Norway;Caecal
SRR23048592;2020;cefotaxime=S,ceftazidime=S;PDT001580422.1;Norway;Caecal
SRR23048593;2020;cefotaxime=S,ceftazidime=S;PDT001580423.1;Norway;Caecal
SRR23048598;2020;cefotaxime=S,ceftazidime=S;PDT001580428.1;Norway;Caecal
SRR23048599;2020;cefotaxime=S,ceftazidime=S;PDT001580429.1;Norway;Caecal
SRR23048600;2020;cefotaxime=S,ceftazidime=S;PDT001580430.1;Norway;Caecal
SRR23048602;2020;cefotaxime=S,ceftazidime=S;PDT001580432.1;Norway;Caecal
SRR23048604;2020;cefotaxime=S,ceftazidime=S;PDT001580434.1;Norway;Caecal
SRR23048605;2020;cefotaxime=S,ceftazidime=S;PDT001580435.1;Norway;Caecal
SRR23048606;2020;cefotaxime=S,ceftazidime=S;PDT001580436.1;Norway;Caecal
SRR23048607;2020;cefotaxime=S,ceftazidime=S;PDT001580437.1;Norway;Caecal
SRR23048609;2020;cefotaxime=S,ceftazidime=S;PDT001580439.1;Norway;Caecal
SRR23048610;2020;cefotaxime=S,ceftazidime=S;PDT001580440.1;Norway;Caecal
SRR23048611;2020;cefotaxime=S,ceftazidime=S;PDT001580441.1;Norway;Caecal
SRR23048612;2020;cefotaxime=S,ceftazidime=S;PDT001580442.1;Norway;Caecal
SRR23048613;2020;cefotaxime=S,ceftazidime=S;PDT001580443.1;Norway;Caecal
SRR23048614;2020;cefotaxime=S,ceftazidime=S;PDT001580444.1;Norway;Caecal
SRR23048616;2020;cefotaxime=S,ceftazidime=S;PDT001580446.1;Norway;Caecal
SRR23048617;2020;cefotaxime=S,ceftazidime=S;PDT001580447.1;Norway;Caecal
SRR23048621;2020;cefotaxime=S,ceftazidime=S;PDT001580449.1;Norway;Caecal
SRR23048623;2020;cefotaxime=S,ceftazidime=S;PDT001580451.1;Norway;Caecal
SRR23048626;2020;cefotaxime=S,ceftazidime=S;PDT001580454.1;Norway;Caecal
SRR23048627;2020;cefotaxime=S,ceftazidime=S;PDT001580455.1;Norway;Caecal
SRR23048629;2020;cefotaxime=S,ceftazidime=S;PDT001580457.1;Norway;Caecal
SRR23048630;2020;cefotaxime=S,ceftazidime=S;PDT001580458.1;Norway;Caecal
SRR23048634;2020;cefotaxime=S,ceftazidime=S;PDT001580461.1;Norway;Caecal
SRR23048636;2020;cefotaxime=S,ceftazidime=S;PDT001580463.1;Norway;Caecal
SRR23048638;2020;cefotaxime=S,ceftazidime=S;PDT001580465.1;Norway;Caecal
SRR23048639;2020;cefotaxime=S,ceftazidime=S;PDT001580466.1;Norway;Caecal
SRR23048640;2020;cefotaxime=S,ceftazidime=S;PDT001580467.1;Norway;Caecal
SRR23048641;2020;cefotaxime=S,ceftazidime=S;PDT001580468.1;Norway;Caecal
SRR23048643;2020;cefotaxime=S,ceftazidime=S;PDT001580470.1;Norway;Caecal
SRR23048646;2020;cefotaxime=S,ceftazidime=S;PDT001580473.1;Norway;Caecal
SRR23048647;2020;cefotaxime=S,ceftazidime=S;PDT001580474.1;Norway;Caecal
SRR23048649;2020;cefotaxime=S,ceftazidime=S;PDT001580476.1;Norway;Caecal
SRR23048653;2020;cefotaxime=S,ceftazidime=S;PDT001580480.1;Norway;Caecal
SRR23048655;2020;cefotaxime=S,ceftazidime=S;PDT001580482.1;Norway;Caecal
SRR23048657;2020;cefotaxime=S,ceftazidime=S;PDT001580484.1;Norway;Caecal
SRR23048661;2020;cefotaxime=S,ceftazidime=S;PDT001580487.1;Norway;Caecal
SRR23048663;2020;cefotaxime=S,ceftazidime=S;PDT001580488.1;Norway;Caecal
SRR23048664;2020;cefotaxime=S,ceftazidime=S;PDT001580489.1;Norway;Caecal
SRR23048665;2020;cefotaxime=S,ceftazidime=S;PDT001580490.1;Norway;Caecal
SRR23048666;2020;cefotaxime=S,ceftazidime=S;PDT001580491.1;Norway;Caecal
SRR23048667;2020;cefotaxime=S,ceftazidime=S;PDT001580492.1;Norway;Caecal
SRR23048668;2020;cefotaxime=S,ceftazidime=S;PDT001580493.1;Norway;Caecal
SRR23048669;2020;cefotaxime=S,ceftazidime=S;PDT001580494.1;Norway;Caecal
SRR23048670;2020;cefotaxime=S,ceftazidime=S;PDT001580495.1;Norway;Caecal
SRR23048671;2020;cefotaxime=S,ceftazidime=S;PDT001580496.1;Norway;Caecal
SRR23048672;2020;cefotaxime=S,ceftazidime=S;PDT001580497.1;Norway;Caecal
SRR23048675;2020;cefotaxime=S,ceftazidime=S;PDT001580500.1;Norway;Caecal
SRR23048676;2020;cefotaxime=S,ceftazidime=S;PDT001580501.1;Norway;Caecal
SRR23048677;2020;cefotaxime=S,ceftazidime=S;PDT001580502.1;Norway;Caecal
SRR23048679;2020;cefotaxime=S,ceftazidime=S;PDT001580504.1;Norway;Caecal
SRR23048680;2020;cefotaxime=S,ceftazidime=S;PDT001580505.1;Norway;Caecal
SRR23048681;2020;cefotaxime=S,ceftazidime=S;PDT001580506.1;Norway;Caecal
SRR24102324;2020;Imipenem-EDTA-PA=ND,amikacin=S,ampicillin-sulbactam=R,ampicillin=R,aztreonam=R,cefepime=R,cefotaxime-clavulanic acid=ND,cefotaxime=R,cefoxitin=R,ceftazidime-avibactam=R,ceftazidime=R,imipenem-relebactam=S,imipenem=R,levofloxacin=R,meropenem-vaborbactam=S,meropenem=R,minocycline=R,nitrofurantoin=I,omadacycline=S,piperacillin-tazobactam=R,plazomicin=S,tetracycline=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT001682689.1;USA;wound
SRR24102316;2020;Imipenem-EDTA-PA=ND,amikacin=R,ampicillin-sulbactam=R,ampicillin=R,aztreonam=R,cefepime=R,cefiderocol=S,cefotaxime-clavulanic acid=ND,cefotaxime=R,cefoxitin=R,ceftazidime-avibactam=R,ceftazidime=R,imipenem-relebactam=R,imipenem=R,levofloxacin=R,meropenem-vaborbactam=R,meropenem=R,minocycline=R,nitrofurantoin=R,piperacillin-tazobactam=R,plazomicin=R,tetracycline=R,tigecycline=S,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT001769958.1;USA;trachea
SRR26324307;2020;amoxicillin-clavulanic acid=S,cefotaxime=S,ceftazidime=S,piperacillin-tazobactam=S;PDT001927055.1;Italy: Milan;not collected
SRR30762176;2020;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,tigecycline=NS,trimethoprim-sulfamethoxazole=S;PDT002391433.1;Tunisia: Sfax;blood
SRR30762178;2020;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=I,meropenem=S,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391435.1;Tunisia: Sfax;blood
SRR30762179;2020;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,tigecycline=NS,trimethoprim-sulfamethoxazole=S;PDT002391436.1;Tunisia: Sfax;blood
SRR30762180;2020;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=S,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=R,meropenem=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391437.1;Tunisia: Sfax;blood
SRR30762181;2020;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,tigecycline=NS,trimethoprim-sulfamethoxazole=S;PDT002391438.1;Tunisia: Sfax;blood
SRR30762182;2020;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391439.1;Tunisia: Sfax;blood
SRR30762183;2020;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=R,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391440.1;Tunisia: Sfax;blood
SRR24667968;2021;amikacin=S,amoxicillin-clavulanic acid=R,ampicillin=R,cefepime=S,cefoxitin=R,ceftazidime=R,ceftriaxone=R,ciprofloxacin=I,gentamicin=S,levofloxacin=I,meropenem=R,piperacillin-tazobactam=R,tetracycline=I,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT001744035.2;USA:Boston;Rectal
SRR24667972;2021;amikacin=S,amoxicillin-clavulanic acid=R,cefepime=R,cefoxitin=R,ceftazidime=R,ceftriaxone=R,ciprofloxacin=S,gentamicin=S,levofloxacin=I,piperacillin-tazobactam=R,tetracycline=R,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT001744039.2;USA:Boston;Rectal
SRR24667973;2021;amikacin=S,amoxicillin-clavulanic acid=R,cefepime=R,cefoxitin=R,ceftazidime=R,ceftriaxone=R,ciprofloxacin=S,gentamicin=S,levofloxacin=I,piperacillin-tazobactam=R,tetracycline=R,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT001744040.1;USA:Boston;Rectal
SRR24673292;2021;amikacin=S,amoxicillin-clavulanic acid=I,ampicillin=R,cefepime=S,cefoxitin=S,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=S,gentamicin=S,levofloxacin=I,meropenem=S,piperacillin-tazobactam=R,tetracycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT001744178.2;USA:Boston;blood
SRR24673293;2021;amikacin=S,amoxicillin-clavulanic acid=I,ampicillin=R,cefepime=S,cefoxitin=S,ceftazidime=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=S,gentamicin=S,levofloxacin=I,meropenem=S,piperacillin-tazobactam=I,tetracycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT001744179.2;USA:Boston;Gall bladder
SRR24673301;2021;amikacin=S,amoxicillin-clavulanic acid=I,ampicillin=R,cefepime=S,cefoxitin=S,ceftazidime=R,ceftriaxone=R,ciprofloxacin=S,ertapenem=S,gentamicin=S,levofloxacin=S,meropenem=S,piperacillin-tazobactam=I,tetracycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT001744186.2;USA:Boston;blood
SRR24673307;2021;amikacin=S,amoxicillin-clavulanic acid=R,ampicillin=R,cefepime=R,cefoxitin=R,ceftazidime=S,ceftriaxone=R,ciprofloxacin=R,gentamicin=S,levofloxacin=I,meropenem=R,piperacillin-tazobactam=R,tetracycline=R,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT001744192.2;USA:Boston;sputum
SRR24673310;2021;amikacin=S,amoxicillin-clavulanic acid=R,ampicillin=R,cefepime=R,cefoxitin=R,ceftazidime=S,ceftriaxone=R,ciprofloxacin=R,gentamicin=S,levofloxacin=I,meropenem=R,piperacillin-tazobactam=R,tetracycline=R,tobramycin=R,trimethoprim-sulfamethoxazole=R;PDT001744195.2;USA:Boston;sputum
SRR24673313;2021;amikacin=S,amoxicillin-clavulanic acid=R,ampicillin=R,cefepime=R,cefoxitin=R,ceftazidime=S,ceftriaxone=R,ciprofloxacin=R,gentamicin=S,levofloxacin=R,piperacillin-tazobactam=R,tetracycline=R,tobramycin=I,trimethoprim-sulfamethoxazole=R;PDT001744198.2;USA:Boston;Rectal
SRR28559215;2021;Imipenem-EDTA-PA=ND,amikacin=S,ampicillin-sulbactam=R,ampicillin=R,aztreonam=S,cefepime=R,cefotaxime=R,cefoxitin=R,ceftazidime-avibactam=R,ceftazidime=R,ceftolozane-tazobactam=R,ceftriaxone=R,ciprofloxacin=S,colistin=I,ertapenem=R,gentamicin=S,imipenem-relebactam=R,imipenem=R,levofloxacin=S,meropenem-vaborbactam=R,meropenem=R,minocycline=S,piperacillin-tazobactam=R,tetracycline=S,tigecycline=S,tobramycin=S,trimethoprim-sulfamethoxazole=S;PDT002131241.1;USA;blood
SRR30762169;2021;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=I,nitrofurantoin=S,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391426.1;Tunisia: Sfax;blood
SRR30762170;2021;amikacin=S,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391427.1;Tunisia: Sfax;blood
SRR30762171;2021;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=SDD,trimethoprim-sulfamethoxazole=R;PDT002391428.1;Tunisia: Sfax;blood
SRR30762172;2021;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=I;PDT002391429.1;Tunisia: Sfax;blood
SRR30762173;2021;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391430.1;Tunisia: Sfax;blood
SRR30762174;2021;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=R;PDT002391431.1;Tunisia: Sfax;blood
SRR30762175;2021;amikacin=R,amoxicillin=R,cefotaxime=R,ceftazidime-avibactam=R,ceftazidime=R,ciprofloxacin=R,colistin=S,gentamicin=R,imipenem=R,meropenem=R,nitrofurantoin=R,tigecycline=NS,trimethoprim-sulfamethoxazole=I;PDT002391432.1;Tunisia: Sfax;blood
SRR22324425;2022;amikacin=S,ampicillin-sulbactam=R,ampicillin=R,aztreonam=R,cefazolin=R,cefepime=R,cefoxitin=R,ceftazidime-avibactam=R,ceftazidime=R,ceftolozane-tazobactam=R,ceftriaxone=R,ciprofloxacin=R,ertapenem=R,gentamicin=S,imipenem=R,levofloxacin=I,meropenem=R,nitrofurantoin=R,piperacillin-tazobactam=R,tetracycline=S,tobramycin=I,trimethoprim-sulfamethoxazole=S;PDT001488004.4;USA;sputum
